dataset,task_type,protocol,split,model,metric,mean,std
semeval,classification,official_split,test_ua,gbm,macro_f1,0.523,0.0
semeval,classification,official_split,test_ua,gbm,weighted_f1,0.5366,0.0
semeval,classification,official_split,test_ua,gbm,accuracy,0.5506,0.0
semeval,classification,official_split,test_ua,baseline,macro_f1,0.1179,0.0
semeval,classification,official_split,test_ua,baseline,weighted_f1,0.2462,0.0
semeval,classification,official_split,test_ua,baseline,accuracy,0.4178,0.0
semeval,classification,official_split,test_ua,question_shortcut,macro_f1,0.3233,0.0
semeval,classification,official_split,test_ua,question_shortcut,weighted_f1,0.437,0.0
semeval,classification,official_split,test_ua,question_shortcut,accuracy,0.4566,0.0
semeval,classification,official_split,test_uq,gbm,macro_f1,0.4786,0.0
semeval,classification,official_split,test_uq,gbm,weighted_f1,0.472,0.0
semeval,classification,official_split,test_uq,gbm,accuracy,0.4878,0.0
semeval,classification,official_split,test_uq,baseline,macro_f1,0.1174,0.0
semeval,classification,official_split,test_uq,baseline,weighted_f1,0.244,0.0
semeval,classification,official_split,test_uq,baseline,accuracy,0.4156,0.0
semeval,classification,official_split,test_uq,question_shortcut,macro_f1,0.1174,0.0
semeval,classification,official_split,test_uq,question_shortcut,weighted_f1,0.244,0.0
semeval,classification,official_split,test_uq,question_shortcut,accuracy,0.4156,0.0
semeval,classification,official_split,test_ud,gbm,macro_f1,0.4111,0.0
semeval,classification,official_split,test_ud,gbm,weighted_f1,0.4412,0.0
semeval,classification,official_split,test_ud,gbm,accuracy,0.4627,0.0
semeval,classification,official_split,test_ud,baseline,macro_f1,0.1184,0.0
semeval,classification,official_split,test_ud,baseline,weighted_f1,0.2487,0.0
semeval,classification,official_split,test_ud,baseline,accuracy,0.4202,0.0
semeval,classification,official_split,test_ud,question_shortcut,macro_f1,0.1184,0.0
semeval,classification,official_split,test_ud,question_shortcut,weighted_f1,0.2487,0.0
semeval,classification,official_split,test_ud,question_shortcut,accuracy,0.4202,0.0
saf,regression,official_split,test_ua,gbm,rmse,0.3024,0.0
saf,regression,official_split,test_ua,gbm,mae,0.1938,0.0
saf,regression,official_split,test_ua,gbm,pearson,0.9096,0.0
saf,regression,official_split,test_ua,gbm,spearman,0.7913,0.0
saf,regression,official_split,test_ua,baseline,rmse,0.7276,0.0
saf,regression,official_split,test_ua,baseline,mae,0.4702,0.0
saf,regression,official_split,test_ua,baseline,pearson,,
saf,regression,official_split,test_ua,baseline,spearman,,
saf,regression,official_split,test_ua,question_shortcut,rmse,0.3306,0.0
saf,regression,official_split,test_ua,question_shortcut,mae,0.2094,0.0
saf,regression,official_split,test_ua,question_shortcut,pearson,0.8913,0.0
saf,regression,official_split,test_ua,question_shortcut,spearman,0.7731,0.0
saf,regression,official_split,test_uq,gbm,rmse,0.5874,0.0
saf,regression,official_split,test_uq,gbm,mae,0.4297,0.0
saf,regression,official_split,test_uq,gbm,pearson,0.0261,0.0
saf,regression,official_split,test_uq,gbm,spearman,0.0603,0.0
saf,regression,official_split,test_uq,baseline,rmse,0.5428,0.0
saf,regression,official_split,test_uq,baseline,mae,0.3999,0.0
saf,regression,official_split,test_uq,baseline,pearson,,
saf,regression,official_split,test_uq,baseline,spearman,,
saf,regression,official_split,test_uq,question_shortcut,rmse,0.5428,0.0
saf,regression,official_split,test_uq,question_shortcut,mae,0.3999,0.0
saf,regression,official_split,test_uq,question_shortcut,pearson,,
saf,regression,official_split,test_uq,question_shortcut,spearman,,
asap_sas,ordinal,official_split,test_ua,gbm,qwk,0.3497,0.0
asap_sas,ordinal,official_split,test_ua,gbm,accuracy,0.5441,0.0
asap_sas,ordinal,official_split,test_ua,baseline,qwk,0.0,0.0
asap_sas,ordinal,official_split,test_ua,baseline,accuracy,0.5646,0.0
asap_sas,ordinal,official_split,test_ua,question_shortcut,qwk,0.0,0.0
asap_sas,ordinal,official_split,test_ua,question_shortcut,accuracy,0.5615,0.0
mohler,regression,kfold,cv,gbm,pearson,0.4297,0.0
mohler,regression,kfold,cv,gbm,spearman,0.425,0.0
mohler,regression,kfold,cv,gbm,rmse,1.1105,0.0
mohler,regression,kfold,cv,gbm,mae,0.8229,0.0
mohler,regression,kfold,cv,baseline,pearson,-0.1663,0.0
mohler,regression,kfold,cv,baseline,spearman,-0.1814,0.0
mohler,regression,kfold,cv,baseline,rmse,1.1641,0.0
mohler,regression,kfold,cv,baseline,mae,0.9588,0.0
mohler,regression,kfold,cv,question_shortcut,pearson,-0.1663,0.0
mohler,regression,kfold,cv,question_shortcut,spearman,-0.1814,0.0
mohler,regression,kfold,cv,question_shortcut,rmse,1.1641,0.0
mohler,regression,kfold,cv,question_shortcut,mae,0.9588,0.0
mohler,regression,kfold,cv,upper_bound_seen_question,pearson,0.5698,0.0
mohler,regression,kfold,cv,upper_bound_seen_question,spearman,0.5499,0.0
mohler,regression,kfold,cv,upper_bound_seen_question,rmse,0.972,0.0
mohler,regression,kfold,cv,upper_bound_seen_question,mae,0.6921,0.0
powergrading,classification,kfold,cv,gbm,macro_f1,0.45,0.0
powergrading,classification,kfold,cv,gbm,accuracy,0.523,0.0
powergrading,classification,kfold,cv,gbm,qwk,-0.0932,0.0
powergrading,classification,kfold,cv,baseline,macro_f1,0.3923,0.0
powergrading,classification,kfold,cv,baseline,accuracy,0.6454,0.0
powergrading,classification,kfold,cv,baseline,qwk,0.0,0.0
powergrading,classification,kfold,cv,question_shortcut,macro_f1,0.3923,0.0
powergrading,classification,kfold,cv,question_shortcut,accuracy,0.6454,0.0
powergrading,classification,kfold,cv,question_shortcut,qwk,0.0,0.0
powergrading,classification,kfold,cv,upper_bound_seen_question,macro_f1,0.8295,0.0
powergrading,classification,kfold,cv,upper_bound_seen_question,accuracy,0.8452,0.0
powergrading,classification,kfold,cv,upper_bound_seen_question,qwk,0.659,0.0
mindreading,ordinal,kfold,cv,gbm,qwk,0.0594,0.0
mindreading,ordinal,kfold,cv,gbm,accuracy,0.3598,0.0
mindreading,ordinal,kfold,cv,baseline,qwk,0.0,0.0
mindreading,ordinal,kfold,cv,baseline,accuracy,0.3334,0.0
mindreading,ordinal,kfold,cv,question_shortcut,qwk,0.0,0.0
mindreading,ordinal,kfold,cv,question_shortcut,accuracy,0.3334,0.0
mindreading,ordinal,kfold,cv,upper_bound_seen_question,qwk,0.1206,0.0
mindreading,ordinal,kfold,cv,upper_bound_seen_question,accuracy,0.3722,0.0
